210,陪产假,深圳市司法局,2017.05.02,2017.05.03,"公司规定没过试用期不让休陪产假，请问我要通过什么途径来维护我的权利
		","你好，建议你拨打我局法律咨询电话咨询：0755-83053830.
		
		"
25701,关于香港居民报考司法考试,深圳市司法局,2013.07.02,2013.07.02,"您好！我是香港居民，想报考司考。但是有以下几点想请问一下： 1.我知道要提交学历和学历认证，因我的本科是在香港读的，那就需要认证。但整个报名过程都在网上进行，请问要怎样提交呢？另外，因为认证需时，恐怕不能在报名截止前提交，能后补吗？ 2.我看见报名表上对香港身份证需要公证，请问这个有是什么手续啊？
		","持香港、澳门、台湾地区高等学校或者国外高等学校学历学位证书的，须同时具有由教育部留学服务中心出具的学历学位认证书。网上填报信息时，根据系统提示填写学历学位认证书的编号和认证日期，并保留好学历学位认证书，以便资格证申领阶段提交验证。深圳市学历学位验证点为“深圳市人事人才服务中心”。地址：深圳市福田区深南大道1025号新城人才大厦东座二楼，联系电话：0755-25985107。传真：0755-25943020。符合报名条件的香港居民在网上报名时须准备好身份证件及经中国委托公证人出具的身份证件证明书。该证明书由报名人员自行在香港向相关机构提出申请。深圳司法考试办公室电话：0755-83053807。?
"
25702,人民调解的法律效力,深圳市司法局,2013.07.02,2013.07.02,"我想了解下关于人民调解的法律效力。
		","《中华人民共和国人民调解法》规定： 经人民调解委员会调解达成的调解协议，具有法律约束力，当事人应当按照约定履行。经人民调解委员会调解达成调解协议后，当事人之间就调解协议的履行或者调解协议的内容发生争议的，一方当事人可以向人民法院提起诉讼。经人民调解委员会调解达成调解协议后，双方当事人认为有必要的，可以自调解协议生效之日起三十日内共同向人民法院申请司法确认，人民法院应当及时对调解协议进行审查，依法确认调解协议的效力。人民调解委员会应当对调解协议的履行情况进行监督，督促当事人履行约定的义务。人民法院依法确认调解协议有效，一方当事人拒绝履行或者未全部履行的，对方当事人可以向人民法院申请强制执行。 《深圳市实施<人民调解>办法》中规定：调解协议因人民法院生效判决、裁定变更、撤销或者确认无效的，人民法院应当将结果反馈调解该纠纷的人民调解委员会。人民调解委员会能够及时了解到协议的信息。? ????????????????????????????????????????????????????????
"
25703,外籍户口在深报考司法考试,深圳市司法局,2013.07.02,2013.07.02,"我户口在山东，现在香港工作，是否可以在深圳报名参加2013司法考试？网上报名后今年是否还有现场确认？
		","????符合报名条件的人员可自行选择报名地。考试费交纳成功后，报名人员不得更改报名地。选择报名地后，考试、申请和领取资格证书均需在报名地进行。今年国家司法考试实行网上报名方式。深圳考区报名人员通过网上填报报名信息、交纳考试费、下载打印准考证，不再进行现场确认。 报名时间为6月16日至7月5日。? ???????????????????????????????????????????????????????????
"
29530,有“邮箱互联网信息中心”的关于“十周年庆典活动”的公证事件吗,深圳市司法局,2008.12.02,2008.12.08,"?广东省深圳市公安局司法局?：?? ??? 我今天收到一新电子邮件：告知我在“邮箱互联网十周年活动庆典”中获奖，通知我获奖幸运码是5188，按下一步后，告诉我获二等奖：笔记本电脑一台外加3800元奖金，要我立刻上wwwq68.cn去领奖，若有疑问可咨询热线电话：089-888-092-588。 ???? 通知说：请点击下一步登陆唯一领奖官网：邮箱互联网信息中心。验证您的获奖身份兑换您的奖品。.... 最后有：“copyright@1998-2008邮箱互联网信息中心环节 版权所有”字样 ? ??? 我不相信这天下掉馅饼的事，但还是好奇的执行了下一步：查到是一自称为“邮箱互联网信息中心计算机系统有限公司”组织的，但有时又称“邮箱互联网信息中心”，可我上网均查不到他们。他们在网上公布了“公证证书”，公证单位是“广东省互联网公证处”与“广东省深圳事工商局、公交局...(数单位参与的）公证处” ???? 往下运行，看到有一必须的领奖条件是：汇款850元，凭此领奖等等。 ?????网上的这些内容均不能进行“拷贝”，所以不能完全记述。 ???? 我认为089-888-092-588这一电话号码的真实写法应是：0898-8092588，是海口某处的一个电话 ? ???? 因奖品活动来自深圳，所以我登陆了市官方网站，特此反映该问题。我在此反映此事件，希望引起政府相关部门了解和重视。 ? ??? 建议登陆wwwq68.cn网站，输入我的邮箱帐户：wh_hy@tom.com?及 “5188”幸运码，也许能看到其全貌。 ????
","? 你好！来信收悉。现答复如下： ? 经核实，深圳市公证处从未对该类活动进行过公证。提醒你谨防诈骗！建议向公安部门反映该情况。 ???????????????????????????????????????????????????? 深圳市司法局信访办
"
29531,关于司考合格人员授予证书申请时信息填写错误的询问,深圳市司法局,2008.12.06,2008.12.08,"市司法局相关领导：??? 您好！抱歉打扰您。现有一个本人十分着急的事项劳烦您予以协助。??? 本人于2008年已通过司法考试，在填写《2008年国家司法考试法律职业资格授予申请表》时，误将毕业证上另一号码认为是证书编号，从而将错误号码填写到申请表上，并且在现场确认时未能发现。不知这样是否会影响证书申请。现本人万分着急，请问现在如何更改？望市局领导予以回复，深表谢意。姓名：严佳坤? 联系方式：13725538180，13688812385准考证号：0844030302153? 身份证号440301830710552
","你好！我局司考办咨询电话为：83053921、83053922。建议来电进行详细咨询。 ???????????????????????????????????????????????深圳市司法局信访办
"
30098,收养小孩,深圳市司法局,2008.08.11,2008.08.25,"您好！我想咨询一下，我们结婚三年一直未生育，可能从内地想收养一个孩子，请问需要什么样的证明？要内地县级以上医院的出生证明可以吗？我们夫妻的户口都在深圳，年龄分别是３８和３９岁．盼回复，谢谢！
		","你好，你可以就具体情况向民政部门咨询。深圳市民政局咨询电话为： 0755-25832106 0755-25832415 0755-25832514。 深圳市司法局信访办
		
		"
31837,QQ,深圳市司法局,2007.12.19,2008.02.21,"腾QQ
		","无任何投诉缘由.
		
		"
31971,人民调解员,深圳市司法局,2008.01.14,2008.01.31,"请问做人民调解员，有哪些途径呢，谢谢本人是法律本科毕业
		","建议拔打我局基层处电话:83053835.83053841进行咨询.
		
		"
31972,病假薪资问题,深圳市司法局,2008.01.10,2008.01.31,"我们的月薪结构为：基本工资（45%）+浮动工资（45%）+各种补助津贴（10%）。括号内的百分率为大概值。我在12月份的第2周，由于生病，请了五天病假，有医生开的证明并经部门领导及公司人事部审批。但有经历过相同情况的同事告知我，我12月份拿到的薪资将是基本工资加各种补贴。也就是说我12月份的浮动工资将被扣完。我11月的薪资若为4000，则12月将只能拿到11月薪资的55%，既2200元。请问如果公司这么做是否违反法律法规，违反哪些法规，如果产生纠纷，我需要收集那些资料，向哪个政府部门投诉以维护我的合法权益。
		","建议拔打我局法律咨询电话83053830进行咨询.
		
		"
32003,深圳腾讯网络科技有限公司周年庆活动是否经过公证,深圳市司法局,2008.01.09,2008.01.25,"深圳腾讯网络科技有限公司正式运营以来,受到了喜爱流行风潮的众多玩家的好评与支持,时尚的氛围,所有的一切都让你成为我们的主题,让更多的自然性情得到释放,让你找到不一样的自己,因此特别推出这个周年庆活动让大家都参与起来,您将获得有本公司送出的惊喜奖金(现金)以及价值￥16.988 RMB三星Q40笔记本电脑一部!以上内容是否经过公证，网站公证内容：http://oicqa.host6.tfidc.com/qqli/mao/index7.asp是否属实
		","市公证处未对该活动进行公证,谨防受骗,建议向公安机关反映该情况.
		
		"
32004,是真的吗？,深圳市司法局,2008.01.09,2008.01.25,"腾讯公司宣传片 活动说明 ：“为了回报广大用户长期以来对腾讯公司的支持！公司决定举办“幸运1月在线抽奖”活动。系统将在《QQ在线》中每天随机抽出8名幸运用户，每名幸运用户将获得腾讯公司与中国三星有限公司送出的惊喜大奖，奖金36000元(RMB)奖品价值1.2588元的三星NP-Q40首款双核笔记本电脑一台。用户只要收到了幸运消息就可以参与本次幸运活动。　　 感谢长期以来对腾讯公司大力支持的每一位用户，感谢深圳互联网（公证处）公证 为本次活动进行公证，感谢中国三星有限公司和深圳市腾讯公司合作赞助！　　 活动时间：2008年01月05日 - 2008年01月10日期间，每日将由后台系统随机的抽选8 位幸运用户。　　 活动规定：必须要在24小时之内办理才生效。领奖时间为当日17:30截止。　　 特别声明：请玩家妥善保管好个人QQ帐户密码，我们不会通过任何形式向您索取您 私人的任何密码。请玩家把握好时间办理领奖程序。逾期系统将取消系 统将取消幸运玩家资格。温馨提示：您在本游戏中必须遵守领奖程序，才具备领奖资格!注：800元属于手续费用。请您到本公司支持的以下银行交纳手续费:800元.请您按照系统规定的章程办理领奖的有关手续本次活动需收取:800元费用作为手续费用,费用将不在奖金里扣除,本公司不为领取奖品所发生的费用负责!” 我接到了通知，説我中了惊喜奖，要汇800元手续费过去，因骗局太多，特来咨訽是否真实，给你们添麻烦了！请告知真假，万分感谢！
		","市公证处未对该活动进行公证,谨防受骗,建议向公安机关反映该情况.
		
		"
32005,老房给占用怎么办,深圳市司法局,2008.01.02,2008.01.25,"领导: 你好 我是龙岗区坑梓街道老坑居民,我妈是坪山街道石井石陂头村民,我妈由生到死一直在那条村居住,死后留下了两间老房给我,房子是有房产证的,由以房子是院试的,有外啬围着房子的,现在村里的人抢建,把我房子围啬内的空地占去起房子,他们的理由是房子是你的,但围啬内的空地就不是我的,请问司法部领导他们这样做是否清犯了我产权,我应该怎样做才能把我的院子试房子受到法律保障,,,,
		","建议拔打我局法律咨询电话为83053830进行咨询.
		
		"
32009,房产共有人,深圳市司法局,2007.12.11,2008.01.24,"应如何和怎样办理已有产权证追加房产共有人手续？谢谢。
		","建议拔打我局法律咨询电话为83053830进行咨询.
		
		"
32010,公司这样扣款合法吗?,深圳市司法局,2007.12.15,2008.01.24,"司法局领导: 您们好! 公司的业务代表,按照公司规定同客户签定了合作协议,客户也提供了正式的营业执照,税务登记证,复印件加盖公章.合作了几个月后,以前的费用客户付款了,由于种种原因不合作了,最后一个月的款,就拖或不愿意付,现在这种情况,公司要业务代表承担一定的未付款的一部分,请问这样合法吗?业务代表是公司的员工,他有能力承担吗?毕竟合作的协议是经过公司领导审批后,才同客户签的协议. 盼回复,谢谢!
		","建议拔打我局法律咨询电话83053830进行咨询.
		
		"
32011,咨询在深圳律师所就业问题,深圳市司法局,2007.12.14,2008.01.24,"尊敬的先生/女士: 您好!非常抱歉百忙之中打搅您! 我表哥今年通过国家司法考试,想在深圳或广州的律师所执业,不知道咱们这里有什么具体要求？他现在该准备什么材料？谢谢！ 具体情况如下:他是工科本科,前司法考试取得了个 C照，在我们县律师事务所工作了将近3年，处理了很多民事，刑事以及商业的案件，成果显著，今年通过了国家司法考试A照的线。
		","建议拔打律管处咨询电话:83053839
		
		"
32012,共存,深圳市司法局,2007.12.20,2008.01.24,"http://szgza.net.cn/zs.htm为什么能够共存,那不是为诈骗份子帮凶
		","不属于我局职能范围,建议向公安部门反映该情况,经核实该网址已不存在.
		
		"
32162,出生档案遗失,深圳市司法局,2007.12.27,2008.01.08,"我的小孩1996年在老家镇卫生院出生,因办理出生证的负责人对所填主页有涂改,当初不知道出生证的严重性,后来在很多方面遇到困难所以镇卫生院又给补办了出生证,今年我在深圳办理迁户小孩也随迁,公安局说出生证是补办的要求出示出生医学档案,可医院早就没有十几年前的档案了,请问我该怎么办??急急!!!
		","不属于我局职能范围.建议向户籍管理部门沟通协商.
		
		"
32163,外来工工伤赔偿是否可申请法律援助,深圳市司法局,2007.12.25,2008.01.08,"我一个侄子(18岁,聋哑)在盐田区一建筑工地做模板工,今年10月27日上午,在工作时被钢筋扫断了腿骨,随后送到盐田区医院治疗,27日下午做了开刀固定手术,现在已出医院.明年仍需开刀取出固定的钢板,目前的医药费由承包模板工程的老板负责.现在与老板协商赔偿事宜,老板总以各种借口,不与协商.在处理赔偿问题中是否可申请法律援助.
		","你侄子的情况应符合法律援助条件.咨询电话83053830.
		
		"
32165,关于房产公证,深圳市司法局,2007.12.12,2008.01.08,"我们拟协议离婚,现有的一套房产(双方产权各占50%)拟过户给儿子(16岁),请问需要先办公证手续再过户吗?如何办理?
		","建议拔打市公证处咨询电话83053935.83053867进行咨询.
		
		"
32461,公司把我们的档案弄丢了，怎么办？,深圳市司法局,2007.11.16,2007.12.13,"我老公06年4月研究生毕业来深圳工作，在一家具有加拿大国籍的中国人开办的企业工作。最近发现自己的档案丢失。公司档案室没有他们06年4月份入职的那一批应届生的档案，但是有当年7月份入职的员工档案。当时的三方协议书上写的档案投寄地址就是他们公司的地址。请问，这件事情我们该如何解决呢？我们该走一个什么样的流程？谢谢！
		","不属于我局职能范围,建议向人事部门反映和咨询.
		
		"
32462,腾讯公司举办的黄金11月“欢乐送”,深圳市司法局,2007.11.29,2007.12.13,"腾讯公司举办的黄金11月“欢乐送”是真是假的到你们的公证了吗？是真的为什么要手续费，是假的为什么打着腾讯公司的旗号？
		","市公证处未对该活动进行公证,谨防受骗,建议向公安机关反映该情况.
		
		"
32463,有关公正,深圳市司法局,2007.12.10,2007.12.13,"您好,我想咨询一下,我在内地要办房产征,而本人不能回去,要委托家人去办,但需要一个委托的公正,请问这个公正在那里怎么办,我在万象城附近工作,请指点.
		","请拔打市公证处电话83053935进行咨询.
		
		"
32491,我该怎样办?,深圳市司法局,2007.11.22,2007.12.10,"您好： 我在去年（2006年）参加由公司组织的资格考试（当时去的时候是公司统一垫付的相关费用，公司也同我们提及过相关费用的处理方式，即在公司干就不扣费用，不在公司干就扣相应的费用。我今年离开了去年的公司，但留有一个月的工资，足够扣减相应的费用，至今我都没去领过）。后资格证办下来了，被以前的公司代领走，我已与以前的公司老板协商过，但对方说现在资格证不见了，我也咨询过发证机关，确实被以前的公司领走。因以后会涉及资格证的验证，我现在不知道该怎样办？
		","建议就详情拔打我局法律咨询电话进行咨询：83053830。
		
		"
32695,(计生法律问题)看看司法局答复公不公正与中央司法部有没有分别,深圳市司法局,2007.11.06,2007.11.13,"国家《人口与计划生育法》第十九条 实行计划生育，以避孕为主。国家创造条件，保障公民知情选择安全、有效、适宜的避孕节育措施，实施避孕节育手术，应当保证手术者的安全\第三十四条 计划生育技术服务人员应当指导实行计划生育的公民选择安全、有效、适宜的避孕措施。对已生育子女的夫妻，提倡选择长效避孕措施。国家《计划生育技术服务管理条例实施细则》第三条 计划生育技术服务实行国家指导与个人自愿相结合的原则。广东省《人口与计划生育条例》第第二十五条 实行计划生育，以避孕为主。实施避孕节育手术，应当保证受术者的安全。为预防和减少非意愿妊娠，各级计划生育行政部门应当创造条件，指导育龄夫妻知情选择避孕节育措施。已生育一个子女的育龄妇女首选使用宫内节育器；已生育二个以上子女的，一方首选结扎措施。?国家法律大于地方性法规，国家计生法（简称）和释义非常明确人民的知情选择权。而省条也明确知情选择，而一孩上环、二结扎是指导思想（与旧条例少了应当二字）。本人是关外常住户口人，合法生育二孩。问题：1、当地计生部门和居委会要求必须结扎，同时不给予办理相关计生证明和分红，使小孩无法入学。他们是否违法？2、本人有违反计生规定吗？3、我要求计生部门开具书面决定，但他们总是不开，到区、市已一样。我可以通过行政诉讼吗？4、您们能否介绍一名法律工作者给我吗？我相信懂法律的一定不会违背法律！ 谢
		","建议拔打我局法律咨询电话83053830进行咨询.
		
		"
32766,公证问题,深圳市司法局,2007.10.14,2007.11.02,"我10月12日收到深圳腾讯发来的信息，说深圳互联网公证处有替深圳腾讯公证10月份举行的幸运抽奖活动，这是真实的还是骗人的？
		","深圳市公证处未对腾讯幸运抽奖活动进行公证,建议向公安机关反映该情况.
		
		"
32767,收不到加工费,深圳市司法局,2007.10.19,2007.11.02,"我们４个人合伙买了两台机器（但没有注册），为某某公司加工产品后，收不到应收的加工费,请问我们该如何做？
		","建议拔打我局法律咨询电话83053830进行咨询.
		
		"
32768,深圳腾讯公司,深圳市司法局,2007.10.04,2007.11.02,"你好呀,我想了解腾讯公司2007年国庆搞QQ在线幸运抽奖活动,是否真实有效?下面有他们发来的小部分内容: 温寿星QQ“2007年黄金十月幸运在线”有奖活动活动公证我处经“腾讯”提交的“2007年黄金十月幸运在线”有奖活动资料，经我处审查并通过并为其“黄金月幸运在线抽奖活动”公证。我们提请“腾讯”用户在收到幸运消息的玩家们，请放心办理您的“领奖程序” 办理领取“腾讯”幸运奖的玩家，需先交纳580元手续费用.580元手续费用包括奖金的汇款费、奖品的邮寄快递费用以及办理领取奖金以及奖品的工本费用管理费用等等。 幸运玩家交纳手续费用专用收款银行帐户 中国农业银行:95599 8015 01257 65118 活动企业帐户：高求 (交纳手续费指定银行帐户),收款费用：580元 ( RMB ) 《本次活动经工商审批。公证处公证检察院认可》《工商序列号：873429》《公证号:7358144》《法人:王斌》深圳市公证处2007年09月30日.
		","深圳市公证处从末对该活动进行公证,谨防诈骗,建议向公安部门反映该情况.
		
		"
32769,关于意外保险的赔付事宜,深圳市司法局,2007.10.24,2007.11.02,"致相关工作人员:我公司员工刘某于07年3月28日受工伤住院治疗，期间医疗费用、住院伙食补贴、受伤停工期间工资均由公司支付，现已由深圳市劳动能力鉴定委员会鉴定为七级伤残。公司为其购买的工伤及社会保险自07年4月份才生效社保部门认定所用费用由公司承担。同时公司本着关爱职工的理念已经为该员工购买过中国人寿的人身意外伤害综合及附加意外伤害住院津贴保险（龙马卡），投保人为公司，被保险人为员工本人，受益人为法定。因公司在事故发生后已全额承担了该员工的医疗费用及住院伙食费请问公司能否要求刘某将意外保险中涉及的意外医疗保险金、意外伤害住院津贴保险金返还给公司？因意外保险中已有伤残金赔付给刘某，刘某再要求按社保部门关于工伤伤残等级进行二次赔付的要求是否合理？我公司应如何进行对刘某的偿付？非常感谢您在百忙中对我们的疑问作出答复!!!
		","建议拔打我局法律援助电话83053830进行咨询.
		
		"
32770,关于侦探,深圳市司法局,2007.10.19,2007.11.02,"你好，我是一名中学生， 想请教几个关于侦探的几个问题1、请问侦探在中国是否具有合法性 中国是否有合法的侦探公司2、请问国外是否有合法的侦探或侦探公司 如果有，请列出几个国家非常感谢
		","1.侦探在中国不具合法性，中国现阶段不存在合法的侦探公司。 2.在欧洲、日本等地区有合法的侦探公司。
		
		"
32808,因租客联系两个月拒交房租，而且电话也联系不上，咨询,深圳市司法局,2007.10.11,2007.10.19,"请教一个问题：本人有套房子在合法纳税出租，但是租客两个月都拒交房租，而且手机也联系不上。房子是通过中介地铺出租的，打电话联系了帮我出租房子的中介，但是中介也没有办法联系上租户。请问这个情况下：1、是否可以强制将租客的东西清理出来，把房子重新出租；2、如果要强制搬租客的东西，需要通过什么部门什么途径，是否要拨打110，请110到场做证，请物业公司到场做证？3、在租客毫无音讯，无法联络的情况下，我要怎么做才算合法？请赐教，多谢！
		","建议拔打我局法律咨询电话83053830.
		
		"
32809,有无奖,深圳市司法局,2007.10.09,2007.10.19,"我这里有一 个电子厂生产不属于自己厂东西,我举报是不是有奖,奖金是多少
		","建议拔打我局法律咨询电话83053830.
		
		"
32810,求证获奖事宜,深圳市司法局,2007.10.13,2007.10.19,"以下是多次发到我邮箱的信息,称已经深圳公证处,公证真实有效,办理领奖需交680元手续费.不知是否真有其事?信息如下:雅虎公司自从创立以来，受到了广大用户的热烈欢迎，一直保持高速发展回报广大网友长期以来对公司的支持与厚爱,通过全国注册用户来进行电脑自动选用户您的用户已中奖!您获得送出惊喜奖金38000元人民币)以及三星公司赞助送出惊喜奖品三星Q30时尚笔记本电脑一台价值19888元人民币。请登陆网站【yahoo.fgdu.cn】验证码1688 进入办理Yahoo!雅虎邮箱已中奖请领取您的奖金 雅虎中国Email系统管理 以上信息是否真的?请回电邮给我.谢谢!
		","深圳市公证处未对该活动进行公证,谨防诈骗,建议向公安部门举报.
		
		"
32811,最近7天内有没有为某公司提供公证，有关抽奖的活动。,深圳市司法局,2007.10.13,2007.10.19,"我收到来自手机号码是15918973447的单位自称是深圳司法公证处为某集团抽奖公证，并说我的手机号码中了二等奖15万元人民币。让我拨打13728678020 咨询有关事宜并开具银行账户，提供身份证号码。希你单位详查并给以回复，谢谢！
		","深圳市公证处从未对手机号码抽奖活动进行公证，谨防诈骗．
		
		"
32915,腾讯公司六月有没有搞黄金六月欢乐送啊？,深圳市司法局,2007.06.21,2007.09.24,"有个QQ号发信息说我中奖拉 让我汇过720元手续非去
		","市公证处从未对该类活动进行过公证，谨防诈骗，建议向公安局网监部门反映此情况。
		
		"
32916,这是小产权房吗,深圳市司法局,2007.08.09,2007.09.24,"农民自建房欲售有合同和公证没房产证
		","建议拔打我局法律咨询电话83053830详细咨询.
		
		"
32917,询问,深圳市司法局,2007.08.29,2007.09.24,"父母81年结婚.爸爸香港人.父母登记结婚的时候.经村委老干部提议.母亲拿了别人的身份证作登记.现在应该怎么处理.?是撤消从新登记.?还是能做修改.?还要准备什么材料.?
		","建议拔打我局法律咨询电话83053830进行详细咨询.
		
		"
32957,假冒注册商标会被判什么刑,深圳市司法局,2007.09.10,2007.09.14,"假冒注册商标会被判什么刑？需要怎么做才能减刑？
		","建议拔打我局法律咨询电话83053830详细咨询.
		
		"
32958,公证号7358144,深圳市司法局,2007.09.09,2007.09.14,"是否真实
		","反映事况不详,建议拔打我局投诉电话83053880进行咨询.
		
		"
33022,关于咨询租客未能缴租而又不搬走的问题,深圳市司法局,2007.08.17,2007.08.29,"你好！我想咨询一个问题： 我的房子租给一个租客，租期两年，到明年7月到期。但是从8月份期，该租客以自己经济困难为名，不缴房租。该租客就是两个态度，要么延期缴租，要么解决租约，退部分押金。 根据租约的约定，延迟一个月缴租，我就有权收回自己的房子，并追究租客的违约责任，没收押金。 想请问一下，在目前这个状况下，为了保证我的正当权益，我要怎么办？
		","建议拔打我局法律咨询电话83053830进行详细咨询。
		
		"
33023,询问,深圳市司法局,2007.08.15,2007.08.29,"父母81年结婚.爸爸香港人.父母登记结婚的时候.经村委老干部提议.母亲拿了别人的身份证作登记.现在应该怎么处理.?是撤消从新登记.?还是能做修改.?还要准备什么材料.?
		","建议拔打我局法律咨询电话83053830进行详细咨询.
		
		"
33097,布吉水径派出所警员拿物品检测指纹不开单据，流程是否正确？,深圳市司法局,2007.08.01,2007.08.20,"负责人： 您好！7月30日晚上大概十点左右，我老公回家发现家里遭盗窃，让小区保安帮忙报了警，尔后布吉水径派出所的两名警员来录了2份口供，拍了照片等，最后还拿走一叠利是封说是拿去化验指纹，当时有问我老公里面有没有钱，我老公不知道说没有，而警员拿走时也没有开收据什么的。当时我不在家，第2天也就是31日早上回家，说起利是封里面装有5、10元面值人民币。当时我老公马上联系了那名警员，而他回复说只有6包，而实际拿走的依厚度来看，约有20包，昨天就只退回6包。请问这样的流程正确吗，如果不正确，无凭据可否投诉，到哪投诉？
		","建议你向派出所主管分局的投诉部门反映该情况.
		
		"
33241,司法考试,深圳市司法局,2007.06.27,2007.07.12,"司法考试安排
		","请拔打司法考试咨询电话:83053807
		
		"
33254,关心钱军事件的广东市民,深圳市司法局,2007.06.21,2007.07.04,"我想问下钱军事件,怎么拖了那么久还没有处理结果和进一步的消息,人已经抓到了,他对中国人的形象影响不好,对社会影响也不好,现在在网上大家都关注事件的发展和结果,时间拖长了对深圳的处理事情的工作效率有很大的疑问,而且感觉影响也越来越大了,希望深圳有关部门对这种恶劣的影响社会形象的人作出最快的处理和做到公平.公正的处理.本人对钱军作为中国公民做出这样的事情非常非常的愤怒.以上是个人的意见.希望在电视上看到深圳有关部门对此事件的表现.不要浪费了我们纳税人的钱.
		","不属于我局职能范围,建议向负责该案的派出所了解情况.
		
		"
33339,暑假期间是否接受在校实习生实习,深圳市司法局,2007.04.29,2007.05.30,"尊敬的市司法局领导：　　您好！首先非常感谢您在百忙之中抽空看我的来信！我是来自华南师范大学南海校区（学院）２００５级法律事务（专）专业的学生陈晓慧．为了提高本人的实践能力，更好地将理论知识运用到实践中来，为走向社会，服务社会做好一定的准备，我迫切地希望能到深圳市司法局进行暑假实习．　　因此我想咨询一下，深圳市司法局在暑假期间是否接受在校实习生实习．如果可以，请告诉我应该做一些什么准备工作或是应该告知某些必要信息．恳请领导能抽空给我一个答复，谢谢！　　此致敬礼　　　　　　　　　　　　　　　　　　　　　　　　咨询人：陈晓慧
		","已回邮件.
		
		"
33340,深圳市公正处是否为此作公正？,深圳市司法局,2007.05.18,2007.05.30,"腾讯公司在黄金五月举办“QQ有礼欢乐送”活动，深圳市公正处是否为此次活动做公正。
		","市公证处未对该活动进行公证,谨防诈骗.
		
		"
33341,有关<广东省深圳市腾讯计算机公司“幸运玩家”活动公证>真假咨询,深圳市司法局,2007.05.21,2007.05.30,"我处经腾讯公司提交的“超级幸运玩家活动”资料，我处审查并通过并为其超级幸运玩家活动”公证。敬请腾讯公司的QQ用户在收到腾讯公司“超级幸运玩家活动”的玩家们，请放心办理您的“幸运玩家资格”。《 办理腾讯公司QQ幸运玩家，需先交纳800元手续费用.800元手续费用包括奖品的个人手续费用.邮寄快递费用》深圳市互联网公证处公证查询:089-869962363请拨打查询。公证处指定银行帐号：62284 8015 00356 26418 公司负责人：麦 严 《本次活动经工商审批。公证处公证检察院认可》《工商序列号：873429》《公证号:7358144》《公证员:李安》深圳市公证处2007年04月06日 是否真有此事?
		","市公证处未对该活动进行公证,谨防诈骗.
		
		"
33342,司法警察的体检标准是怎么样的,深圳市司法局,2007.05.23,2007.05.30,"公务员招考马上开始了，司法警察的体检标准应该是什么，小三阳合格吗？如果按公安的标准就不合格，但按国家公务员的标准又是合格的，报名在即，请回复！谢谢你们！
		","以市人事局公告的体检标准为准. 谢谢你的来信咨询!
		
		"
33380,我想确认深圳市南山区高新科技园中区 高新四路维用科技大厦三楼是不是真的有网上抽奖活动,深圳市司法局,2007.05.10,2007.05.15,"我收到由767723838自称是客服人员发来的信息说我中奖了地址是上面的地址网上有他们的公证书我想确认是否属实
		","公证处未对该类活动进行过公证，谨防诈骗。
		
		"
33381,腾讯网今儿个是不是举办,深圳市司法局,2007.05.05,2007.05.15,"今天本人收到据称是腾讯和可口可乐办的""幸运玩家""活动,本人很荣幸中了不少钱还有笔记本电脑,是否真有此事,我查寻过有关网站(深圳市公证处网)有相关内容,有好多可疑之处,本人不敢轻信所以请教,请给予帮助.谢谢了! 那个深圳市公证处的网是否真实!?是否真有此活动请给予调查下!在此本人再次谢谢你们了!
		","市公证处从未对该类抽奖活动进行过公证，谨防诈骗，建议向公安局网监部门反映此情况。
		
		"
33446,幸运大玩家,深圳市司法局,2007.04.05,2007.04.13,"我想证实一下超级大玩家是不是在你这里进行公证了,他这是不是骗人的.有进行公证吗?
		","市公证处从未对该活动进行过公证。
		
		"
33447,请问！~,深圳市司法局,2007.03.26,2007.04.13,"我想请问一下关于“为了感谢广大用户对腾讯公司的支持,本公司决定在“2007年黄金三月”,举办“QQ有礼欢乐送”抽奖活动,系统将在《QQ游戏在线用户》中,随机抽取八位幸运玩家”，是由你们深圳市公证处公证。这个是不是真的！~ 能不能尽快回复。谢谢！~~
		","深圳市公证处从未对该抽奖活动办理公证
		
		"
33677,租房问题,深圳市司法局,2006.11.24,2007.01.11,"本人是来自甘肃的一名大学生，，7月9日租房在深圳福田区，交押金300元。住到8月30日，因工作调动，去了宝安松岗镇，可是房东不给我退押金， 说合同是三个月，没有住够，不予退押金。但是合同上说没有正当理由不退！工作换到宝安松岗镇难道不是正当理由？？？?? 我现在这样的情况可以拿到我的押金吗，? 我觉得他们的合同有问题，我的权益受侵犯。 希望你们能给我帮助！?十分感谢
		","建议拨打我局法律咨询热线83053830，24小时律师值班。
		
		"
