04-07 13:18,6023900953,寻找rainbow姑娘,0,道歉有用，要法律干嘛？,https://tva2.sinaimg.cn/crop.0.0.1342.1342.180/006zFFONjw8fagbs3fktmj311a11aaes.jpg
03-22 07:08,2983283270,佳妹儿真的很孩子气,0,死刑,https://tva4.sinaimg.cn/crop.0.62.402.402.180/b1d14a46gw1elm2u84ktnj20b90ewjsj.jpg
03-22 07:01,1806007545,囍泷泷,0,职能主管部门呐？,https://tva1.sinaimg.cn/crop.0.1.1242.1242.180/6ba57cf9jw8f1nf2bqaqrj20yi0yk779.jpg
03-22 06:56,3883568505,传说中的虾米哥,0,这就完了？?如何中标不谈谈吗？,https://tva4.sinaimg.cn/crop.0.0.996.996.180/e77a8d79jw8f7tc51p2b8j20ro0rpwg8.jpg
03-22 06:53,5706658877,绿茶新味道,0,回复<a href='https://m.weibo.cn/n/长鼻子大象e'>@长鼻子大象e</a>:恐惧  压抑  唉……,https://tvax4.sinaimg.cn/crop.0.0.996.996.180/006ecyF7ly8ff00x9ozh0j30ro0rodkj.jpg
03-22 06:51,5635309067,终南山小师傅,0,主动背锅~,https://tvax3.sinaimg.cn/crop.0.0.996.996.180/0069nbjJly8feyl85ka7wj30ro0rpjsl.jpg
03-22 06:45,1665061372,dadouzi_141,0,回复<a href='https://m.weibo.cn/n/芹菜扮豆'>@芹菜扮豆</a>:这是我们国自己内部的事情，不需要阴阳怪气的人在这里说三道四。,https://tva1.sinaimg.cn/crop.0.0.996.996.180/633ed1fcjw8f8y29mys87j20ro0roq5s.jpg
03-22 06:41,2775604197,折戟沉沙______,0,"回复<a href='https://m.weibo.cn/n/suv电动尾门'>@suv电动尾门</a>:不是5毛，是没意思回复。比如天天体制延伸腐败。结果他爹的研究报告说腐败是经济问题，不是体制和政治的锅。这种事还能说什么<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-d903433c82.png"" style=""width:1em;height:1em;""></span>",https://tva2.sinaimg.cn/crop.0.0.664.664.180/a5705be5jw8f027b7033gj20ig0ig75e.jpg
03-22 06:39,5820095988,北之海2016,0,这种货色是诚心道歉吗？滚球！,https://tva4.sinaimg.cn/crop.0.0.996.996.180/006lSwPWjw8f7z8f7y6ncj30ro0rowhh.jpg
03-22 06:36,3189340530,信伟电子1987,0,这事他自己绝对搞不定，后面的一定是大老虎，就看查不查了，严查下去很简单就弄出来了，就让这么个人背锅，全国人民都不服,https://tvax3.sinaimg.cn/default/images/default_avatar_male_180.gif
03-22 06:04,3977635694,掇渔路,0,童声合唱：背锅！,https://tva4.sinaimg.cn/crop.0.0.180.180.180/ed15e76ejw8eck5ck98x1j20500500so.jpg
03-22 06:00,2475275665,等闲度日唯心不变,0,"日本人<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-7430606cb7.png"" style=""width:1em;height:1em;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-7430606cb7.png"" style=""width:1em;height:1em;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-7430606cb7.png"" style=""width:1em;height:1em;""></span>",https://tva3.sinaimg.cn/crop.88.19.264.264.180/9389b591jw1efbney1kgrj20c808gq3j.jpg
03-22 05:59,1901844545,皖北老张头,0,无良奸商！,https://tva3.sinaimg.cn/crop.0.0.1000.1000.180/715bd841jw8fdbzisobtmj20rs0rttbr.jpg
03-22 05:57,1824524463,小言午哥,0,曝光之后就后悔了？早干嘛去了,https://tva2.sinaimg.cn/crop.0.0.1006.1006.180/6cc008afjw8fd3mt2mmsaj20ry0rygnn.jpg
03-22 05:45,2160267204,习习蛤蛤又一年,0,回复<a href='https://m.weibo.cn/n/Snorphanee'>@Snorphanee</a>:说不定人家只是觉得小粉红不是中国人而已,https://tva4.sinaimg.cn/crop.13.0.724.724.180/80c30fc4jw8fbjc6fetjoj20ku0k4dgr.jpg
03-22 05:41,5510663010,西风桂子,0,黑锅可以彻底点，自行了断吧！,https://tvax1.sinaimg.cn/crop.0.0.996.996.180/0060Wbbsly8feasw7q2e2j30ro0ro76u.jpg
03-22 05:40,2037448727,Passer-by甲And乙,0,<a href='https://m.weibo.cn/n/彻罗基的房间'>@彻罗基的房间</a>,https://tva3.sinaimg.cn/crop.47.47.549.549.180/79710017jw1e826rcab86j20go0krdiw.jpg
03-22 05:36,2679189363,向思静Zzzz,0,这该怎么判？,https://tvax4.sinaimg.cn/crop.0.2.508.508.180/9fb12f73ly8fflx00pw54j20e40e8q3m.jpg
03-22 05:36,5149888266,菜刀切豆腐,1,我咋感觉他可怜呢,https://tva1.sinaimg.cn/crop.0.0.664.664.180/005CwpbYjw8f70ipq677yj30ig0igdhg.jpg
03-22 05:04,1263098400,夏夜里的水莲花,0,一定把他背后的关系和后台挖出来！,https://tva1.sinaimg.cn/crop.0.0.720.720.180/4b495a20jw8eds90tn924j20k00k00ts.jpg
03-22 05:01,2740806892,海耕一号,0,"回复<a href='https://m.weibo.cn/n/黄金米菲'>@黄金米菲</a>:我傻不傻不是你来评判的，正如我也不会判断你傻一样<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;""></span>互相尊重罢了",https://tva2.sinaimg.cn/crop.0.0.1440.1440.180/a35d64ecjw8ey4631auvjj21401400yk.jpg
03-22 04:51,6182142151,热爱祖国的小驴民,0,回复<a href='https://m.weibo.cn/n/海耕一号'>@海耕一号</a>:说明你傻,https://tvax3.sinaimg.cn/crop.0.0.996.996.180/006KnDAbly8fdsaql5iz8j30ro0ro7gd.jpg
03-22 04:34,1880021814,维克秃秃秃,0,回复<a href='https://m.weibo.cn/n/王慧楠同学'>@王慧楠同学</a>:120,https://tvax4.sinaimg.cn/crop.17.0.1208.1208.180/700edb36ly8fdk64dree7j20yi0xkq5w.jpg
03-22 04:04,5350160539,染染熏,0,死去吧,https://tva2.sinaimg.cn/crop.0.3.505.505.180/005Q4J9Vjw8fbkl44frshj30e10e83zi.jpg
03-22 03:55,5249663905,何须恼此生棱角,0,回复<a href='https://m.weibo.cn/n/没面条吃的山西人'>@没面条吃的山西人</a>:？,https://tva3.sinaimg.cn/crop.0.0.996.996.180/005Jh3otjw8fb94k1kv0sj30ro0ro400.jpg
03-22 03:38,2258128131,兜毡剩佛,0,回复<a href='https://m.weibo.cn/n/狂奔的蜗牛青'>@狂奔的蜗牛青</a>:人家国家权钱交易是合法的～,https://tva1.sinaimg.cn/crop.0.0.180.180.180/86984d03jw1e8qgp5bmzyj2050050aa8.jpg
03-22 03:36,2724431547,中键委网战部司令,0,道歉有用的话，还要警察干嘛？,https://tva4.sinaimg.cn/crop.0.0.1080.1080.180/a26386bbjw8ey3b1aazgjj20u00u0dhw.jpg
03-22 03:26,2711236624,龍狼騰,0,应严惩！,https://tva1.sinaimg.cn/crop.0.0.320.320.180/a19a3010jw8efnuy3zaxrj208w08w0sv.jpg
03-22 02:28,2182101934,帅帅的少年哥,0,如果这批问题电线不被曝光出来呢！？,https://tvax4.sinaimg.cn/crop.14.0.700.700.180/82103baely8ffpffiqol6j20k00lcgw3.jpg
03-22 02:17,1233815940,开车了请扶好下一站蛇精病院,1,回复<a href='https://m.weibo.cn/n/黄金米菲'>@黄金米菲</a>:你出了我国后，别的国家的人不会把你当人家国家人的，在别国眼里你还是我国人，真是丧家之犬啊，天天腆着个脸赖在我国境内和网内，有本事滚出去彻底断绝联系，我还当你是个英雄，不然就闭嘴！,https://tvax2.sinaimg.cn/crop.0.0.1424.1424.180/498a8984ly8ffqlczc307j213k13kq63.jpg
03-22 02:04,1840763124,傅汛,1,这公司有政府后台的吧？地铁项目招标的同时成立的，毫无资质的新公司轻松中标，没猫腻怎么可能,https://tva4.sinaimg.cn/crop.533.508.1055.1055.180/6db7d0f4gw1edy8uuyqdzj21kw2t6qv5.jpg
03-22 01:52,2665327963,大连爱心防水,1,"不管黑猫白猫，能捉老鼠就是好猫，不管黑老鼠白老鼠，让猫捉不住才是好老鼠<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_jiyan-ae754a591c.png"" style=""width:1em;height:1em;""></span>",https://tvax2.sinaimg.cn/crop.0.0.664.664.180/9eddad5bly8febj11bed0j20ig0igt9k.jpg
03-22 01:47,2659204483,二营长你TMD开炮啊,0,回复<a href='https://m.weibo.cn/n/黄金米菲'>@黄金米菲</a>:是啊我国的事不劳您费心好么？哪凉快哪待着ok？,https://tva2.sinaimg.cn/crop.0.0.750.750.180/9e803d83jw8ewtpjdyoo0j20ku0kujtl.jpg
03-22 01:46,2655370164,Jason-MRLiu,0,回复<a href='https://m.weibo.cn/n/镇八方玉麒麟'>@镇八方玉麒麟</a>:没毛病,https://tva2.sinaimg.cn/crop.8.0.1519.1519.180/9e45bbb4jw8f6tnda5wnxj216o167404.jpg
03-22 01:41,3709177884,Django钢之意,0,我真的想知道，那些说背锅的，到底该抓谁？谁来担责，到是说一下，是背了谁的锅啊,https://tva4.sinaimg.cn/crop.0.0.720.720.180/dd15901cjw8emvnrofb1gj20k00k075s.jpg
03-22 01:37,2163240162,下次再相会,0,总监呢，质检站呢，施工单位项目经理呢，业主代表呢，给电缆开质量证明文件的检验部门呢。,https://tva4.sinaimg.cn/crop.88.81.333.333.180/80f06ce2jw8exjk18zsgzj20go0d23za.jpg
03-22 01:31,2644919075,Gignesthai_意林,0,<a href='https://m.weibo.cn/n/梦迪CHEN'>@梦迪CHEN</a>,https://tvax2.sinaimg.cn/crop.0.3.506.506.180/9da64323ly8fetbeq1jazj20e20e8dgf.jpg
03-22 01:26,2215200574,勤快的罗庆,0,这不应该由他们公司一人背吧！干过项目的都知道是怎么回事，首先就应该从招投标开始到查合同查监理一条龙查下来这一串都有问题。,https://tva2.sinaimg.cn/crop.0.0.639.639.180/8409473ejw8ej7y8ejskuj20hs0hrt9i.jpg
03-22 01:19,2868925092,吉安娜的金币,0,一看就是背锅的,https://tvax1.sinaimg.cn/crop.11.0.727.727.180/ab0052a4ly8ffnpjz8847j20ku0k775e.jpg
03-22 01:17,1359863657,x小酒x,0,权钱勾当，,https://tva2.sinaimg.cn/crop.0.0.720.720.180/510ddf69jw8enz2yzd66nj20k00k0my7.jpg
03-22 01:13,6124419887,小小麦田ou,0,主管领导呢！！！！滚出来！！！,https://tvax4.sinaimg.cn/crop.0.0.996.996.180/006GtrnVly8ffk4jg01cbj30ro0ro416.jpg
03-22 01:11,2794640517,韩颖的影子,0,<a href='https://m.weibo.cn/n/Yayaaa_'>@Yayaaa_</a>,https://tvax1.sinaimg.cn/crop.0.0.996.996.180/a692d485ly8ffoovlk3snj20ro0rotba.jpg
03-22 01:08,2079787533,For_xiu,0,回复<a href='https://m.weibo.cn/n/四川愉康环保检测'>@四川愉康环保检测</a>:說的太對了。,https://tva2.sinaimg.cn/crop.0.0.511.511.180/7bf70a0djw8eznjlquxj3j20e70e8wew.jpg
03-22 01:07,3102491175,弗格尼尼,0,背锅的 头发都一夜白了。。。。。,https://tva4.sinaimg.cn/crop.0.0.180.180.180/b8ec4227jw1e8qgp5bmzyj2050050aa8.jpg
03-22 01:04,2079787533,For_xiu,0,什麼叫背鍋？就算還有人沒出來，難道他就沒有責任？,https://tva2.sinaimg.cn/crop.0.0.511.511.180/7bf70a0djw8eznjlquxj3j20e70e8wew.jpg
03-22 01:00,2127811863,94xline,0,"哎哟喂，<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;""></span>",https://tvax2.sinaimg.cn/crop.0.0.1006.1006.180/7ed3d517ly8ff1p5niwnaj20ry0ry0vj.jpg
03-22 00:58,1634853581,九朝布衣,0,吕健呢？出来走两步,https://tva2.sinaimg.cn/crop.0.0.180.180.180/6171e2cdjw1e8qgp5bmzyj2050050aa8.jpg
03-22 00:57,2240816407,鼎盛春秋99,0,背锅好专业，还下跪,https://tva3.sinaimg.cn/crop.0.0.180.180.180/85902517jw1e8qgp5bmzyj2050050aa8.jpg
03-22 00:56,3788765284,陌生就好fantastic,0,专业背锅三十年，我不接受你的道歉，明天还要坐三号线,https://tvax4.sinaimg.cn/crop.9.0.494.494.180/e1d3f864ly8ffm399z9vfj20e80dqq31.jpg
03-22 00:54,5527207419,根号九是三,0,回复<a href='https://m.weibo.cn/n/黄金米菲'>@黄金米菲</a>:层主挺住！,https://tva2.sinaimg.cn/crop.0.0.996.996.180/00623B8Ljw8f95l8k90ifj30ro0rpdlv.jpg
03-22 00:54,5131406840,恋上蒙奇奇2014,1,前几天新闻还说不合格的被清理了，没想到全部不合格，拿人命不当回事，有多少钱权交易，细思极恐！,https://tva3.sinaimg.cn/crop.0.0.996.996.180/005BgRksjw8fde921d3lhj30ro0rojuo.jpg
03-22 00:53,1360342940,Ctrl刀削面,0,回复<a href='https://m.weibo.cn/n/何须恼此生棱角'>@何须恼此生棱角</a>:晕船你跳海啊,https://tva1.sinaimg.cn/crop.312.36.1262.1262.180/51152f9cjw1f5fp7y2f43j21kw11x4eb.jpg
03-22 00:52,5131406840,恋上蒙奇奇2014,0,可笑至极,https://tva3.sinaimg.cn/crop.0.0.996.996.180/005BgRksjw8fde921d3lhj30ro0rojuo.jpg
03-22 00:50,2871840814,Ace乆,0,<a href='https://m.weibo.cn/n/花图小主-_-'>@花图小主-_-</a>,https://tva4.sinaimg.cn/crop.0.0.640.640.180/ab2cd02ejw8fcj8zunrq6j20hs0hsmyp.jpg
03-22 00:48,1228876760,卡捷林,1,有没有行贿？谁罩着你？,https://tva1.sinaimg.cn/crop.0.0.640.640.180/493f2bd8jw8ejloz9z441j20hs0htmys.jpg
03-22 00:48,5162221543,anledid,1,又是个替罪羊. 眼含泪. 没法明白. 人性真难理解,https://tva3.sinaimg.cn/crop.0.0.511.511.180/005Dm9DNjw8eqhxt5n6dcj30e70e8gnm.jpg
03-22 00:48,3264590414,后知后觉后忘,1,这稿子念的！（下跪前床上稿子出镜了）。这锅你背了，领导会给你许诺什么呢？,https://tva1.sinaimg.cn/crop.0.0.996.996.180/c295b24ejw8fcedbxrt05j20ro0ro784.jpg
03-22 00:44,2391608302,卧槽得改,1,政府工程都这样  这得多贪,https://tvax3.sinaimg.cn/default/images/default_avatar_male_180.gif
03-22 00:40,5092879345,L1ght____,1,这么大的中标项目涉及的受贿和吃回扣问题，加上知情不报，纵容犯罪，工作失职等等。从上到下如果彻底查清，我估计当地看守所都能塞满。,https://tva2.sinaimg.cn/crop.41.0.683.683.180/005yFczfjw8ey8gspg1njj30rs0k8770.jpg
03-22 00:39,2105871870,来自火星的大地瓜,0,采购，监理，招标，质检，项目经理，一个都没事？,https://tva3.sinaimg.cn/crop.0.0.996.996.180/7d850dfejw8f75xxkln2fj20ro0roadu.jpg
03-22 00:38,5457166585,叮当吃吃吃,0,出啥事了？,https://tvax2.sinaimg.cn/crop.0.0.996.996.180/005XjIjTly8fff8adiu2aj30ro0rp423.jpg
03-22 00:37,5261705262,银十四子,3,我能说我们滁州这边有个化肥厂老板是我们滁州人大代表，骗吃骗喝骗我们这边老百姓的财产，虽然老百姓贪财有错法律意识淡薄，但是人跑了以后多少可怜的人家破人亡，不准上访，上访还给逮到公安局，这事有人管么？还政府，还企业?都是勾当！,https://tvax3.sinaimg.cn/crop.0.0.996.996.180/005K5zTUly8fentanjjfdj30ro0rp0u3.jpg
03-22 00:34,5335184753,征途中的骑士,0,应该破腹自杀！,https://tva3.sinaimg.cn/crop.0.0.100.100.180/005P3TgZjw8eldju21hsoj302s02sa9x.jpg
03-22 00:34,5175638397,ShaoRyan,0,一看就是给大boss背锅的,https://tva4.sinaimg.cn/crop.0.0.996.996.180/005EgrYFjw8fao58nx7ayj30ro0ron1k.jpg
03-22 00:29,2413244630,鲁鲁萌,0,"回复<a href='https://m.weibo.cn/n/黄金米菲'>@黄金米菲</a>:你老家爷爷的棺材板快压不住了，常回家看看，村里的人还是爱你的<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_taikaixin-2ea4a8779a.png"" style=""width:1em;height:1em;""></span>",https://tva2.sinaimg.cn/crop.0.0.996.996.180/8fd730d6jw8f5e0vaogbnj20ro0rpdiv.jpg
03-22 00:28,5880407389,我期待5880407389,0,背锅侠  一层一层扒皮  哪有合格产品,https://tva2.sinaimg.cn/crop.0.0.664.664.180/006pXAAtjw8f8o7mj0dq6j30ig0igaby.jpg
03-22 00:27,5639745280,迈恩工业TRS,1,最低价中标的机制造成了逼良为娼，只要是最低价中的谁帮你领导都没毛病，但出事就要自认倒霉！,https://tva4.sinaimg.cn/crop.0.2.154.154.180/0069FNnygw1eukunv4amqj304i04e0sv.jpg
03-22 00:27,3947619693,法治多强素质多高,0,这是要  为官员腐败  被责任呀？  因为保护了官员，出狱后还是可以搞工程的！  保护腐败  需要用影帝的水平呀！  可以纪检监察  都是看神剧的货，看不出这家伙在演戏！ 有罪没罪最先是有纪委说了算，法院只管判决，司法体系很尴尬！！！,https://tva2.sinaimg.cn/crop.27.0.994.994.180/eb4be56djw1ecgpc6nlatj20sg0sgk2w.jpg
03-22 00:27,6175228773,北楼窗下的信箱子,0,"后背的老虎还是该吃吃该喝喝，哎<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_landelini-bc8d668f14.png"" style=""width:1em;height:1em;""></span>",https://tvax3.sinaimg.cn/crop.0.0.664.664.180/006JUD65ly8fdte3lc5gpj30ig0ig0uf.jpg
03-22 00:26,5535517760,Hanamaru幼稚园,3,回复<a href='https://m.weibo.cn/n/王慧楠同学'>@王慧楠同学</a>:多读点书 别智障兮兮的,https://tvax2.sinaimg.cn/crop.0.0.996.996.180/0062Ct2wly8ffk88wijg2j30ro0ro75p.jpg
03-22 00:24,2134753730,davy4562011,0,不接受道歉，一查到底！,https://tva2.sinaimg.cn/crop.0.0.180.180.180/7f3dc1c2jw1e8qgp5bmzyj2050050aa8.jpg
03-22 00:24,5026524134,玛大可,0,看了大家的评论，我坚信人民群众的智商是不低的～,https://tva4.sinaimg.cn/crop.0.2.1008.1008.180/005uaMxUtw1efiwt1yz2cj31ao0t6tog.jpg
03-22 00:24,2017118793,独留明月照长安,0,西安市甚至陕西省的领导，这几十年来没一个有能力的……失望透顶,https://tva4.sinaimg.cn/crop.0.0.200.200.180/783aca49jw8el0juhhbmzj205k05kdfp.jpg
03-22 00:21,5639745280,迈恩工业TRS,1,回复<a href='https://m.weibo.cn/n/远上寒山石径斜啊'>@远上寒山石径斜啊</a>:看来就你看出了破定,https://tva4.sinaimg.cn/crop.0.2.154.154.180/0069FNnygw1eukunv4amqj304i04e0sv.jpg
03-22 00:20,5926687611,沅有芷兮澧有兰思,0,那现在地铁三号线还能坐吗,https://tvax1.sinaimg.cn/crop.0.0.996.996.180/006t5MbFly8ff3m6na5r7j30ro0rpt9f.jpg
03-22 00:20,5639745280,迈恩工业TRS,0,"回复<a href='https://m.weibo.cn/n/王慧楠同学'>@王慧楠同学</a>:帮你凑双哈<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_haha-bdd6ceb619.png"" style=""width:1em;height:1em;""></span>",https://tva4.sinaimg.cn/crop.0.2.154.154.180/0069FNnygw1eukunv4amqj304i04e0sv.jpg
03-22 00:17,5144758621,琴棋书画独无画,0,利益输送无处不在啊，看这个城市能不能查下去吧,https://tva3.sinaimg.cn/crop.1.0.1239.1239.180/005CaSJLjw8f3ku9yt36zj30yi0yfq5q.jpg
03-22 00:14,1879800783,揭穿是因为心疼你,1,人本不经常有人跪地认错~~~然后~~~~~日本人素质高，日本人敢于承认错误~~~,https://tva4.sinaimg.cn/crop.0.0.996.996.180/700b7bcfjw8f90x92tc2nj20ro0rpwgt.jpg
03-22 00:11,3296541941,行者无疆8629,0,电缆不仅用于通电，还可以用来上吊！,https://tva1.sinaimg.cn/crop.0.0.720.720.180/c47d3cf5jw8eed6tx34a6j20k00k0gn0.jpg
03-22 00:10,5040936961,诗铭啊啊,0,回复<a href='https://m.weibo.cn/n/王慧楠同学'>@王慧楠同学</a>:。。。第一次见到骗赞的还出来回复的？666,https://tva3.sinaimg.cn/crop.0.0.720.720.180/005v9fYRjw8eh5chxg2n8j30k00k0wfw.jpg
03-22 00:09,5621324761,qi思妙想丶,0,回复<a href='https://m.weibo.cn/n/王慧楠同学'>@王慧楠同学</a>:图片评论 ,https://tva4.sinaimg.cn/crop.0.0.1080.1080.180/0068qvmpjw8euxvdewrw8j30u00u0dh1.jpg
03-22 00:08,1202108662,髙新超,0,政府应该深思最低价中标的方式，不能把所有的错都有厂家来负责。,https://tvax1.sinaimg.cn/crop.0.0.996.996.180/47a6b8f6ly8ff42ymebonj20ro0rptb3.jpg
03-22 00:08,2134878763,暮迟_MC93,0,"回复<a href='https://m.weibo.cn/n/黄金米菲'>@黄金米菲</a>:你国政治献金不就是这种形式？优越就优越在官商勾结合法化了<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-d903433c82.png"" style=""width:1em;height:1em;""></span>",https://tvax2.sinaimg.cn/crop.204.41.408.408.180/7f3faa2bly8ffblgmwyn9j20k10ci3zi.jpg
03-22 00:08,1446331722,美中篮坛资讯,1,全国各地的经济适用住房或者回迁房，钢筋电缆都不过关，这事都知道多年了!！！就监督部门不知道。,https://tvax4.sinaimg.cn/crop.0.0.750.750.180/5635454aly8fedq2jwiwdj20ku0kuq3m.jpg
03-22 00:07,1731458315,芹菜扮豆,0,回复<a href='https://m.weibo.cn/n/霸得蛮的正能量兔'>@霸得蛮的正能量兔</a>:你的国呗,https://tva4.sinaimg.cn/crop.0.15.641.641.180/6733f50bjw8f4nst91ipzj20ht0inq4j.jpg
03-22 00:06,2134878763,暮迟_MC93,0,跪地不是韩国的做法吗,https://tvax2.sinaimg.cn/crop.204.41.408.408.180/7f3faa2bly8ffblgmwyn9j20k10ci3zi.jpg
03-22 00:05,2797174783,runboom,0,你少TM的来小日本那一套！还是乖乖去监狱呆着比较好。,https://tva1.sinaimg.cn/crop.0.0.180.180.180/a6b97fffjw1e8qgp5bmzyj2050050aa8.jpg
03-22 00:02,1942008487,粟阳花开,1,回复<a href='https://m.weibo.cn/n/triangel8808'>@triangel8808</a>:廣藥的皮鞋膠囊?呢？,https://tva1.sinaimg.cn/crop.300.0.764.764.180/73c0b2a7gw1ega9tshawlj211y0lcae8.jpg
03-22 00:01,2003059572,御使在野,0,政府怎么验收通过的？没事了？,https://tvax3.sinaimg.cn/crop.0.0.1010.1010.180/77644374ly8ffm4mgq6zlj20s20s2wh3.jpg
03-22 00:01,2624501671,白头此翁丶,0,我国体制的锅，必须背起来,https://tvax3.sinaimg.cn/crop.0.0.996.996.180/9c6eb7a7ly8ffiws58bxqj20ro0rowh2.jpg
03-22 00:00,2624501671,白头此翁丶,0,替罪羊而已，背后的势力一定要深挖……,https://tvax3.sinaimg.cn/crop.0.0.996.996.180/9c6eb7a7ly8ffiws58bxqj20ro0rowh2.jpg
03-21 23:59,3793021190,要努力的大刘,0,道歉有用，要警察来观赏？,https://tvax1.sinaimg.cn/crop.0.0.996.996.180/e214e906ly8ff0wijzrxpj20ro0rpgmz.jpg
03-21 23:59,2617766872,夜天花板有着段戲,0,这时候演技很重要！,https://tvax4.sinaimg.cn/crop.13.0.724.724.180/9c07f3d8ly8feljcw20qmj20ku0k4abb.jpg
03-21 23:59,2521950907,HHHHHHHDK,0,<a href='https://m.weibo.cn/n/-郝鹿鹿-'>@-郝鹿鹿-</a>,https://tvax1.sinaimg.cn/crop.0.15.640.640.180/9651eabbly8feqh5jl4w5j20hs0inmy8.jpg
03-21 23:59,1691006487,大刀杨杨,0,这事不少见，有的虚报米数电缆有断码，有的买厂标报验贴入围产品合格证，反正是隐蔽工程,https://tva3.sinaimg.cn/crop.0.1.508.508.180/64cab617jw1e8wrb8gg06j20le0e977p.jpg
03-21 23:57,3846060427,你峰锅,0,"<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;""></span>还没感受过3号线。准备下月去青龙寺体验一下",https://tva3.sinaimg.cn/crop.0.0.996.996.180/e53e398bjw8f7r3hxmcx0j20ro0rpq4w.jpg
03-21 23:56,5771819846,心却依旧,0,西安的地铁咋了？,https://tva3.sinaimg.cn/crop.0.0.1080.1080.180/006iBY0ujw8f0rz3r31boj30u00u0div.jpg
03-21 23:55,3306177863,白震宇I,0,这个锅背的漂亮,https://tva3.sinaimg.cn/crop.144.8.283.283.180/c5104547jw8et71snzylkj20e608y0ts.jpg
03-21 23:54,2153054453,you_sugar,0,背台词呢吧,https://tva4.sinaimg.cn/crop.0.0.640.640.180/805500f5jw8eisvs7jf1jj20hs0hs750.jpg
03-21 23:54,2715237342,AlaricV,0,这很中国,https://tva1.sinaimg.cn/crop.0.0.720.720.180/a1d73bdejw8eqfvmbr6q3j20k00k0mxy.jpg
03-21 23:53,2304588662,库里猴,8,回复<a href='https://m.weibo.cn/n/活的像个诗人'>@活的像个诗人</a>:有时候，老百姓都懂的事情，调查的人却看不明白。,https://tvax2.sinaimg.cn/crop.116.54.360.360.180/895d3b76ly1feysk8nxdlj20go0godhb.jpg
03-21 23:53,2573852781,Emilly快乐,0,西安的市民们要被西安的父母官坑死咯！！,https://tva2.sinaimg.cn/crop.0.12.488.488.180/9969e06djw8f9qqvlati5j20dk0e8q4g.jpg
03-21 23:53,2880506915,G-晨雪,0,后台硬！走走过场而已！,https://tvax1.sinaimg.cn/crop.0.6.500.500.180/abb10c23ly8ffp74g6043j20dw0e8dg3.jpg
03-21 23:52,2522576552,筝筝筝筝筝筝筝筝筝筝筝筝筝筝筝,1,道歉管什么用！跪下管什么用！这是三号线没出什么事故就被爆出来了，要是出了事故，那就毁了多少人的家庭和幸福！这件事情不仅是电缆公司的问题，质监局也需要负责。纳税人的钱养着你，你就是对西安人民的生命负责的！！,https://tva4.sinaimg.cn/crop.0.0.664.664.180/965b76a8jw8f80xmsi8vdj20ig0igjsd.jpg
03-21 23:52,2432077402,何星星6,0,"光供应商就可以了?采购的,质检的就没事了吗??",https://tva2.sinaimg.cn/crop.11.0.129.129.180/90f68e5agw1f58xpqlc1hj204603m0st.jpg
03-21 23:52,5974669582,-将来式,1,"就是这样一个老旧体系组成的家族企业，却像横空出世一般，在2015年4月击败强有力的竞争对手----电缆行业位于西安的老牌企业中国西电的大企业，一举中标成为西安地铁的关键材料供应商。<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_chijing-709027feca.png"" style=""width:1em;height:1em;""></span>",https://tva2.sinaimg.cn/crop.0.0.750.750.180/006wl6uqjw8f5f8rffp54j30ku0ku74r.jpg
03-21 23:51,1924756723,晒晒太阳会死啊,0,尴尬,https://tva4.sinaimg.cn/crop.0.0.1328.1328.180/72b974f3jw8fdgw5bv3fzj210w10wjtr.jpg
03-21 23:51,3170261944,不让改名字啦,0,不是死到临头，这些人是无所敬畏的，他们不会相信法律，只相信权力和金钱。,https://tva1.sinaimg.cn/crop.0.0.720.720.180/bcf65bb8jw8eqthbkk2ftj20k00k0jus.jpg
03-21 23:50,6016196504,霸得蛮的正能量兔,0,回复<a href='https://m.weibo.cn/n/芹菜扮豆'>@芹菜扮豆</a>:你又是哪国的垃圾？,https://tva1.sinaimg.cn/crop.0.0.712.712.180/006z9lxujw8f93jiu3z6mj30js0jsmz1.jpg
03-21 23:50,3212288467,LibragirlCoco,0,作秀，恶心，腐败权利作祟,https://tvax2.sinaimg.cn/crop.0.10.491.491.180/bf77a1d3ly8fe2u010onqj20dn0e8q3g.jpg
