受理意见,咨询主题,咨询人,咨询内容,咨询日期,处理单位,处理状态
您好，您的问题我们已安排专人电话联系您，感谢您对我们工作的关注和支持！,人才落户问题,赵*****,在人才落户上有两个问题:1，是不是必须有居住证才可以申请；2，由国家质量监督检验检疫总局颁发由北京市人事局考试通过的质量工程师（中级）证书是不是对于的人才落户资格里的质量工程师一项。由于现在国家对于我持有的这个证书属于停考阶段，特此询问。谢谢。,2017-04-13 11:05:37,市人力资源和社会保障局,办结
尊敬的市民，您好！没有经过员工的同意单位是不能变更合同的期限，如单位有这种行为建议到单位所属劳动部门投诉，感谢您对我们工作的支持。,关于合同变更,李*****,用工单位私自变更合同，把三年合同变成一年合同，请问是否违反了劳动法。,2017-04-13 09:23:34,市人力资源和社会保障局,办结
"尊敬的市民，您好！您已有单，单号111704126613101、 031704106169801、031704106169701以及 031704096164801等，已转部门跟进，为避免重复转办工单影响处理时效，因此此单不再重复转办，请您耐心等待。感谢您对我热线的支持和理解,谢谢。",实名举报，私人民营整形美容医院，无证非法,余*****,"你好： 实名举报实名举报，私人民营整形美容医院，无证非法行医，违法问题多。名称：广东，珠海平安康复医院 ，医院性质：私人民营医院 地址：珠海市拱北侨光路69号，网上有叫（珠海平安整形美容医院）（珠海平安康复医院）（珠海美南华平安整形美容医院）1：从事医学美容需要哪些证件?根据我国法律相关规定，一个合格的整形医生须有《医师资格证》、《医师执业证》、《医疗美容主诊医生职业资格证》。其中，《医师执业证》的注册专业应为“医疗美容”（或“整形”），“医疗美容”（或“整形”）科的医生执业证注册满6年，并且取得整形外科主治医师以上职称，参加省卫生部门的考试，就可以取得《医疗美容主诊医生职业资格证。投诉举报：以上该医院，医生工作人员大部分基本没有属于无证上岗，特别是一个叫，（在医院用假名字叫：李小言）身份证叫：李成艳主任的医生。就这样给人动手做手术了，非法行医。大部分美容医院真正会动美容手术的医生并不多，从事美容手术的医院中，每家医院真正能够动刀的医生不会超过两个，有的医院甚至一个都没有。在这些医院中，有职业资格证书的工作人员一半都不到，有的医院为了应付检查，就把外地医生的证书拿来充数。这些工作人员大部分都是外聘的，有的工作人员以前是普外科的或是神经外科的，甚至是牙医，一到美容医院就成了无所不能的美容专家了。2：乱收费，暴力收费，手术百元成本，收费两三千元医疗美容是新生事物，许多市民对收费标准、技术要求并不熟悉，处于不知情的弱势地位，而不良医疗美容机构正是抓住这一点，大肆赚取昧心钱。就这一点，高晋说是“黑中之黑”：“比如注射隆胸，虽然国家早已明令禁止，但一些医疗美容机构还在偷偷地做。有的医院注射隆胸成本只有不到1000元，却要收费5000-6000元。一直在外宣传‘韩式隆胸’的医院，据说一个月光隆胸手术费就有三十几万元，而其中二十几万几乎都是注射隆胸赚来的。至于隆鼻手术，成本就更低。小的隆鼻假体成本只有十几元，100元左右的算是比较好的，300-400元的应该就算是很好了，但往往手术做下来要收费二三千左右。还有抽脂减肥，这是医疗美容机构做得比较多的一个项目。按照一般标准，抽一个部位比如手臂就需要1000—2000元左右，再加腹部等部位，做一次就要付出好几千元。一台超声波抽脂机的价格一般在3-4万元左右，做几个客人，成本可能就赚回来了。3：嫌欺骗欺诈消费者,违法广告《广",2017-04-12 18:50:04,市卫生和计划生育局,办结
"尊敬的市民，您好！您已有单，单号111704126613101、 031704106169801、031704106169701以及 031704096164801等，已转部门跟进，为避免重复转办工单影响处理时效，因此此单不再重复转办，请您耐心等待。感谢您对我热线的支持和理解,谢谢。",实名举报，私人民营整形美容医院，无证非法,余*****,"你好： 实名举报实名举报，私人民营整形美容医院，无证非法行医，违法问题多。名称：广东，珠海平安康复医院 ，医院性质：私人民营医院 地址：珠海市拱北侨光路69号，网上有叫（珠海平安整形美容医院）（珠海平安康复医院）（珠海美南华平安整形美容医院）1：从事医学美容需要哪些证件?根据我国法律相关规定，一个合格的整形医生须有《医师资格证》、《医师执业证》、《医疗美容主诊医生职业资格证》。其中，《医师执业证》的注册专业应为“医疗美容”（或“整形”），“医疗美容”（或“整形”）科的医生执业证注册满6年，并且取得整形外科主治医师以上职称，参加省卫生部门的考试，就可以取得《医疗美容主诊医生职业资格证。投诉举报：以上该医院，医生工作人员大部分基本没有属于无证上岗，特别是一个叫，（在医院用假名字叫：李小言）身份证叫：李成艳主任的医生。就这样给人动手做手术了，非法行医。大部分美容医院真正会动美容手术的医生并不多，从事美容手术的医院中，每家医院真正能够动刀的医生不会超过两个，有的医院甚至一个都没有。在这些医院中，有职业资格证书的工作人员一半都不到，有的医院为了应付检查，就把外地医生的证书拿来充数。这些工作人员大部分都是外聘的，有的工作人员以前是普外科的或是神经外科的，甚至是牙医，一到美容医院就成了无所不能的美容专家了。2：乱收费，暴力收费，手术百元成本，收费两三千元医疗美容是新生事物，许多市民对收费标准、技术要求并不熟悉，处于不知情的弱势地位，而不良医疗美容机构正是抓住这一点，大肆赚取昧心钱。就这一点，高晋说是“黑中之黑”：“比如注射隆胸，虽然国家早已明令禁止，但一些医疗美容机构还在偷偷地做。有的医院注射隆胸成本只有不到1000元，却要收费5000-6000元。一直在外宣传‘韩式隆胸’的医院，据说一个月光隆胸手术费就有三十几万元，而其中二十几万几乎都是注射隆胸赚来的。至于隆鼻手术，成本就更低。小的隆鼻假体成本只有十几元，100元左右的算是比较好的，300-400元的应该就算是很好了，但往往手术做下来要收费二三千左右。还有抽脂减肥，这是医疗美容机构做得比较多的一个项目。按照一般标准，抽一个部位比如手臂就需要1000—2000元左右，再加腹部等部位，做一次就要付出好几千元。一台超声波抽脂机的价格一般在3-4万元左右，做几个客人，成本可能就赚回来了。3：嫌欺骗欺诈消费者,违法广告《广",2017-04-12 18:48:24,市卫生和计划生育局,办结
尊敬的市民，您好！2009年7月1日起，我市职工社会保险费由地税部门全责征缴。因此，如您单位存在未依法与职员缴纳职工社保的，可拨打12366-2向地税部门反映。感谢您对我们工作的支持！,公司未缴纳社保,方*****,企业依法，没有购买员工社保,2017-04-12 17:43:32,市人力资源和社会保障局,办结
"尊敬的市民，您好！您已有单，单号081704125721401，为避免重复转办工单影响处理时效，因此此单不再重复转办，请您耐心等待。感谢您对我热线的支持和理解,谢谢。",珠海市工商不作为,王*****,下属工商局高新区分局不作为 投诉金稻公司发次品 以次充好 不作为,2017-04-12 16:36:49,市工商局,办结
尊敬的市民，您好！企业年度报告提交具体操作可以浏览此网站：http://218.104.198.158:8088/ssdj/ZZFW/Login.aspx 感谢您对我们工作的支持。,企业工商年报公示,常*****,企业工商年报公示怎么操作？到带什么资料？,2017-04-12 14:08:57,市工商局,办结
尊敬的市民，您好！市外生育要把资料带回珠海报销，生育保险报销的资料：1、申请人本人社会保障卡，代为申领的，还须提供代领人身份证 ； 2、财政、税务统一监制的医疗机构收费收据或发票原件；（市内就医未联网结算的，须让医院收费处在收费收据原件后面注明未联网原因并加盖收费章）3、发生费用的医疗机构电脑打印的费用明细清单原件； 4、疾病诊断证明或出院小结原件；5、在市外发生的医疗机构及当地医疗保险经办机构确认的《珠海市职工生育保险异地待遇核查表》，该表可在珠海市社会保险基金管理中心网下载。6、计生证原件及复印件（境外人员无需提供计生部门相关证明）——省内户籍提供《广东省计划生育服务证》，——省外户籍提供参保人珠海市现居住地居委会出具有效期内的《珠海市计划生育证明》 ；7、新生儿出生医学证明原件及复印件（新生儿出生后死亡的提供死亡的证明）；到市社保中心各办事处办理，市外生育三级医院如超过5060元是不能再报销，婴儿费用是否能报销以前台审核为准，感谢您对我们工作的支持。,生育保险市外报销,区*****,你好，本人已选定珠海人民医院作为定点产检医院，但之后计划回佛山市老家分娩，请问这种情况，需要办理什么申请手续吗？产生的分娩费用是否可以凭发票用生育保险回珠海市进行报销？据说市外三级医院的结算额度是5060元，那是不是可以理解为只要分娩费用不超过5060元就可以据实报销全部费用？（例如，分娩费用是4500元，珠海社保局可以给付报销4500元？）。另外，生育保险是只报孕妇分娩产生的费用，不报孕妇因分娩产生的住院床位费和婴儿住院期间产生的费用，是吗？,2017-04-12 11:29:16,市人力资源和社会保障局,办结
驾考斗门八甲考场目前正处于审批过程，审批通过后即可投入使用。,驾考斗门八甲考场何时启用？,任*****,您好！我想咨询一下位于斗门八甲的驾考考场何时能够启用？,2017-04-11 18:21:54,市公安局,办结
尊敬的市民，您好！在12月15日前，参保人在本市定点医疗机构所发生的核准住院医疗费用仍可直接提供身份证进行联网结算；在该日期之后，参保人未办理社保卡的，相应医疗费用可先现金结算，待社保卡办理后，持相关资料到社保经办机构办理报销手续（注：住院医疗费用垫付押金后暂不结算，带社保卡办理后回医院结算）。感谢您对我们工作的支持！,买了社保没社保卡如何报销住院费用？,吴*****,我二哥买了两年多的社保，一直因种种原因没有及时办理社保卡，现突然生病住院，医院由于没有社保卡不给采用医保结算方式，全部自费。我想请问没有社保卡就不能报销住院医药费吗？,2017-04-11 17:11:18,市人力资源和社会保障局,办结
尊敬的市民，您好！人才引进通过后入户问题请咨询公安部门，人才引进可以入户到单位集体户口、单位所在居委会户口和自有房产，感谢具体怎样办理入户请咨询公安部门，感谢您对我们工作的支持。,人才落户问题,袁*****,您好！现有两个问题需要麻烦您解答一下：1、我现在所在的公司有集体户口，如果入户到公司，是否还需要在网上提交资料然后单位再审核？2、如果不入户到公司，那是入户到公司所在地居委会吗？我看到网上一些回复是说入户到居委会，但户口不是派出所管的吗？不是入户到派出所吗？我之前的同学离职后将户口迁出时是迁到派出所的,2017-04-11 16:56:40,市人力资源和社会保障局,办结
"您好！您所咨询事项，户政中心已电话回复您，如还有什么问题，可拔打户政中心咨询电话：8640350。

                                        户政中心
                                    2017年4月13日",公司没有集体户口个人也没有个人房产在珠海,张*****,没有个人房产在珠海，所在公司也没有集体户口，人力资源部已经通过了迁户口申通，需要如何才可以落户珠海？,2017-04-11 15:45:13,市公安局,办结
"您好！您所咨询事项，户政中心已电话回复您，如还有什么问题，可拔打户政中心咨询电话：8640350。

                                        户政中心
                                    2017年4月13日",企业办理集体户口,张*****,公司场地是租赁的，可以申请集体户口？,2017-04-11 15:39:42,市公安局,办结
建议投诉人电话咨询人社局，咨询电话：5133108。,应届生报到证交珠海人力资源可以领回吗？,刘*****,您好！我是2016年的应届毕业生，毕业时报到证要拿到生源地报到交珠海市斗门区人力资源处。目前在深圳工作，2017深圳新政策，人才引进应届毕业生可以落户深圳需要用报到证，请问可以领回吗？需要带什么证件去领回？,2017-04-11 14:54:18,斗门区（行政服务中心）,办结
尊敬的市民，您好！人才引进单位审核：登录单位网上服务平台→人才引进→直接核准引进页面，点击“单位审核”并通过后申报信息直接提交至经办机构审核，感谢您对我们工作的支持。,人才引进单位怎样注册审核,孙*****,人才引进，单位怎样审核,2017-04-11 13:18:39,市人力资源和社会保障局,办结
尊敬的市民，您好！社保的归属地是按参保地是在哪里，对于积分入学对社保参保地是否有要求建议咨询教育局，感谢您对我们工作的支持。,社保归属,徐*****,你好，我户口在香洲区，但在横琴新区上班，公司也是横琴新区注册的，这样我的社保缴纳归属是香洲区还是横琴新区？积分入学，香洲区对社保有归属地要求。,2017-04-11 13:01:44,市人力资源和社会保障局,办结
您好，根据《关于调整珠海市职工生育保险生育津贴发放方式有关问题的通知》（珠人社【2017】50号）规定，自2017年3月1日起，生育津贴由用人单位按照职工原工资标准逐月垫付给员工，再由社保经办部门按照规定支付给用人单位。其中，由市、区财政统发工资的机关、公益一类事业单位的生育津贴由市社会保险经办机构按月汇总直接拨付给相应的财政资金账户。学校的工资是由财政部门统一发放工资的，不再另外享受生育津贴。感谢您对我们工作的关注和支持！,关于生育津贴,孔*****,您好！我妻子是珠海市市属高中的一名教师。2017年2月25日，在中大五院，小孩出生了，然后3月1号出院。之前同属市属高中的女教师生育后都会领到生育津贴，然而到现在我们还没有收到生育津贴。在网上，我们看到了一些政策的变化，比如从3月1号起，事业单位生育津贴由单位按月发放，但是我妻子所在学校并未收到相关通知，而且还有传言，生育津贴将一律取消，前几年发放的要退回。请问人社局，生育津贴还有吗？像我这种情况应该怎么领取。,2017-04-11 09:23:39,市人力资源和社会保障局,办结
"您好！您所咨询事项，户政中心已电话回复您，如还有什么问题，可拔打户政中心咨询电话：8640350。

                                        户政中心
                                    2017年4月14日",人才引进入户问题,潘*****,本人已经通过了预审，到了现场审核资料步骤。新增规定要开具珠海市计划生育证明。今日去居委会开具的时候，办公人员说他们居委会没有集体户口，我说不是可以入到公司所在地的居委会户口吗?他们说不确定。我在珠海没有房产，公司没有集体户口。那么到时候我的户口入到哪里？不会到时候拿到了核准引进证明，但是确没有地方入户吧。另外我儿子去年10月份出生的，到现在还没有入户口，我是想等我迁到珠海后再给他入户，居委会说不能的，必须要先入了户口再随迁，那我儿子的户口是先入到我的户口所在地还是他爸爸的呢？我没有迁户口。,2017-04-10 19:00:25,市公安局,办结
"尊敬的市民，您好！参保人下一社保年度需重新选定定点机构的，应在每年4-6月到新选定的定点医疗机构办理变更手续；未办理重新选定手续的，视为继续选定原机构。

（二）参保人在社保年度内有以下情形的，提供相关资料到新选定的定点医疗机构办理变更手续：
1、工作单位或家庭住址改变的（提供调令、劳动合同、房产证、户口本、房屋租赁证明等有效证明之一）；
2、新增病种（如结核病、精神类疾病或恶性肿瘤等）需到相应专科医疗机构或高一级医疗机构就诊的（提供门诊病程审核通知书等）；
3、所选门诊就医机构被暂停基本医疗保险服务、终止或被解除基本医疗保险服务协议的。门诊统筹，首次选定是即时生效；4-6月变更是7月1日生效；非4-6月但属特殊情况变更的，在变更的次月1日起生效。感谢您对我们工作的支持。",门诊统筹医疗机构 的变更,杨*****,你好，我想变更门诊统筹医疗机构，请问怎么操作，时间有限制吗？,2017-04-10 18:46:52,市人力资源和社会保障局,办结
尊敬的市民，您好！《广东省人口与计划生育条例》第三十条：“符合法律、法规规定生育子女的夫妻，女方享受八十日的奖励假，男方享受十五日的陪产假。在规定假期内照发工资，不影响福利待遇和全勤评奖”陪产假的工资是由单位正常发放，陪产假包括法定假日。感谢您对我们工作的支持  ！,关于陪产假,余*****,想咨询现在珠海是否有陪产假，陪产假是否硬性要求的？如果有的具体是多少天，是否包含假日，然后如果有陪产假那陪产假休假期间工资是由哪个部门发放的？是不是企业为员工买了生育保险，就可以直接向向什么相关部门报销的？,2017-04-10 17:55:14,市人力资源和社会保障局,办结
尊敬的市民，您好！如人才引进审核通过后入户问题是属于公安部门，按人才引进政策是可以入户到单位所在居委会集体户口的具体可以咨询公安部门，感谢您对我们工作的支持。,人才引进落户问题,欧*****,人才引进我本人符合政策要求，但是本人在珠海无房产，单位目前在珠海高栏港为在建项目，尚未竣工，没有单位集体户口可落，我咨询12345其回复可以落当地居委会的集体户口，但是经咨询派出所不让落居委会集体户口，请问要怎么处理！,2017-04-10 17:23:14,市人力资源和社会保障局,办结
尊敬的市民，您好！如果您是在2017年3月1日前报销生育医疗费的生育津贴会按原政策发放到员工帐户上，顺产按3个月发放剖腹产按4个月发放，感谢您对我们工作的支持。,生育津贴,黄*****,我是2月在珠海保健院生的小孩，生育津贴已经发放到我的个人社保卡上2个月的了，第三个月的也就是四月份的是发到我的个人社保卡上还是用人单位上？,2017-04-10 15:10:14,市人力资源和社会保障局,办结
贵中心转来入户需求-计划生育证明的信件已收悉，现回复如下：已电话答复本人去前山计生办办理珠海市计划生育证明。,入户需求-计划生育证明,梁*****,目前户籍地是湛江，现需要办理珠海市入户申请，《计划生育证明》需要到哪里办？需要哪些材料？,2017-04-10 14:20:41,市卫生和计划生育局,办结
已按规定答复纳税人。,2016年度社保补缴证明是否可复印,骆*****,2016年1月份和7月份分别为公司三位员工补缴了社保，但是现在找不到当时补缴的证明，如果现在需要当时补缴的证明，是否可以到地税局复印当时的证明，要提交什么资料才能复印呢？,2017-04-10 09:26:23,市地方税务局,办结
您好，由于您提供的信息有限，无法为您查询具体情况。如您是培训机构代为申请，建议您咨询培训机构。如您是个人提交申请，建议您咨询申请补贴的机构。补贴机构联系方式如下：1、珠海市技能培训中心，地址：珠海市香洲区兴华路156号4楼，电话：3951003。2、香洲区人力资源中心，地址：珠海市香洲区兴华路5号3楼，电话：0756-2227199、0756-2227191。3、斗门区人力资源社会保障局，地址：斗门区井岸镇中兴南路477号，电话：0756-5522219。4、金湾区人力资源社会保障局，地址：金湾区行政办公中心7号楼，电话：0756-7263557、0756-7792033、0756-7613028。5、万山区人力资源社会保障局，地址：梅华东路301号2单元政务服务中心，电话：0756-2170177。6、高新区人力资源社会保障局，地址：高新区金峰中路199号劳动保障窗口，电话：0756-3389265。7、高栏港区人力资源社会保障局，地址：高栏港大厦17层1705室，电话：0756-7268377。8、横琴新区社会事务局，地址：横琴新区红旗村德政街38号1楼，电话：0756-8688512。感谢您对我们工作的理解和支持！,高校毕业生人力资源证书补贴情况,蔡*****,我们2015年11月在学校外面的机构报考了人力资源三级证书，之后拿到的证书，于是就申请了补贴，到现在补贴一直迟迟不下来，其他机构的同学已经拿到补贴，而我们机构却一直说补贴还没下来，我想请问一下补贴下来了吗？哪里可以查询补贴的审批情况？,2017-04-09 17:47:13,市人力资源和社会保障局,办结
尊敬的市民，您好！您父母的情况需咨询享受退休医疗待遇的当地人社局。感谢您对我们工作的支持！,省外退休人员珠海就诊定点医疗机构备案,刘*****,本人父母为湖南省退休人员，现来珠海生活，请问关于外省退休人员在珠海如何办理就诊定点医疗机构备案？谢谢！,2017-04-09 16:13:57,市人力资源和社会保障局,办结
热心市民：您好，您的诉求已收悉，我中心及时将该诉求转至区职能部门。据区人力资源开发管理服务中心调查回复：此事项已办结。我中心工作人员通过与市民进行电话沟通，对“关于申请应届毕业生到中小微企业就业一次性补贴”事项和申领程序进行了解释，翁炜城市民对我中心工作人员的工作态度表示满意，并同意撤诉。,关于申请应届毕业生到中小微企业就业一次性,翁*****,1.申请材料需要交到所在区（香洲区）经办机构，是指红山路的人社局吗？2.申请材料中有一项，需要本人社会保障卡或者银行卡复印件，如果还没有办理社保卡，是否提供任意银行的储蓄卡复印件就可以了？,2017-04-09 10:39:48,香洲区市民问政服务中心,办结
尊敬的市民，您好！学历验证证明提供《教育部学历证书电子注册备案表》或《中国高等教育学历认证报告》；《教育部学历证书电子注册备案表》：可通过中国高等教育学生信息网查询（学信网网址：http://www.chsi.com.cn/；在线查询请点击“首页→学历查询→零散查询→申请学历证书电子注册表”）；2.《中国高等教育学历认证报告》：无法在网上直接查询的，提供此报告（珠海学历认证咨询电话：3951022）；学位验证证明提供《中华人民共和国学位证书查询结果》或《教育部学位与研究生教育发展中心认证报告》。学位验证证明可通过中国学位与研究生教育信息网查询（学位网网址：http://www.cdgdc.edu.cn/；在线查询请点击“首页→学位查询”；无法在网上直接查询可点击“首页→中国学位认证”申请纸质学位认证报告），感谢您对我们工作的支持。,人才入户原件审核问题,黄*****,人才引进入户申请预审通过，凭申报材料原件审核，这个原件材料中有一项疑问，当时提供的“学历验证证明”和“学位验证证明”2份报告原件怎么提供？此原件是网上出具的电子版材料。,2017-04-07 17:00:36,市人力资源和社会保障局,办结
"您好！您所咨询事项，户政中心已电话回复您，如还有什么问题，可拔打户政中心咨询电话：8640350。

                                        户政中心
                                    2017年4月13日",户口挂在单位集体户口，离职应该如何处理？,陈*****,本人户口于去年转入公司集体户口，因个人职业规划原因需离职，暂时不找新单位，但仍在珠海发展，请问户口可以迁往哪里？,2017-04-07 16:27:59,市公安局,办结
尊敬的市民，您好！人才引进审核的单位必需要跟您参保和做用工备案的单位是一致的，如属劳务派遣人员的，提交书面申请须同时提供《劳动合同书》和《劳务派遣协议》，且须符合《劳动合同法》第五章第二节劳务派遣的有关规定）；感谢您对我们工作的支持。,入户审核,罗*****,递交了资料之后，是否需要自己找单位去让其审核？我合同是跟北京公司签订的，但社保是外包给珠海公司购买的，请问该如何跟进审核进度？是找合同的公司，还是交社保的珠海公司去审核？急急急，期盼回复,2017-04-07 16:27:54,市人力资源和社会保障局,办结
您好，您所咨询的问题我们已安排专人电话回复您，感谢您对我们工作的关注和支持！,退休年龄,李*****,"我之前在这个平台咨询过女职工退休年龄的界定,回复是以现岗位劳动合同中确定的岗位为准，如是管理岗位女职工55岁退休,工人岗位50岁退休,但是如果该员工合同是管理岗位,但网上劳动关系备案中显示为市内合同工人,即工人岗位,退休年龄如何界定呢?",2017-04-07 14:47:21,市人力资源和社会保障局,办结
建议投诉人电话咨询人社局，咨询电话：5133108。,人才引进系统有bug，不能修改！,许*****,3月提交了人才直接核准引进，原单位核准后，斗门区审核时发现漏填了“毕业院校类型”（为什么不设置必要选项未填写就不能点提交呢？），现退回重新修改，但是由于我换了工作，交社保的单位变动，系统提示“用工备案和参保单位不一致，请按规定变更一直后再行申报”，然后系统就是进不去修改的界面。最初的时候参保单位也不是我选的啊，这让我个人怎么处理？,2017-04-07 13:59:31,斗门区（行政服务中心）,办结
住房公积金联名卡关联手机号如需查询或变更的，需本人携带身份证、住房公积金联名卡前往珠海市建设银行有公积金业务的网点办理相关手续即可。相关情况已通过电话告知杨先生。,公积金卡绑定的手机号问题,先*****,忘记绑定的电话号，就算找到了那个号也已经注销怎么办,2017-04-07 12:53:47,市住房公积金管理中心,办结
尊敬的市民，您好！生育保险市外报销：核准医疗费报销，市内生育定点三级医院报百分之八十，二级及以下医院据实支付。市内非定点（非急诊、抢救），市内同级医疗机构结算额度50%以内的，据实支付。市内急诊和市外，三级医院市内同级医疗机构结算额度80%以内的，据实支付，二级及以下医院，市内同级医疗机构结算额度以内的，据实支付，市外结算额度三级医院5060元、二级医院4010元、二级以下3110元。生育保险是没有“短期外出市外备案手续”办理的，如在市外产检是不按规定报销，感谢您对我们工作的支持。,生育保险报销,区*****,（1）请问，社保在珠海，产检选定珠海人民医院定点，但是分娩的时候回老家（市外）生，请问，在市外医院分娩产生的费用（分娩费、住院床位费等）可以报销多少？报销比例是按实际产生的费用的百分比？还是 有住院分娩额度，在额度范围内，可以全部报销，超出部分个人支付？另外，请问在市内医院分娩和在市外医院分娩，二者可报销的额度或比例是否一样还是有不同？（2）目前广东省女职工产假有178天，现在有一名女职工打算回老家分娩，为了更方便地享受医疗福利，请问，这种情况下，该女职工在休产假前是否可以申请办理“短期外出市外备案手续”？办理了这项手续后，是否就可以在老家选定的医疗机构进行医疗联网结算？,2017-04-07 12:43:25,市人力资源和社会保障局,办结
尊敬的市民，您好！内资公司变更是没有商事主体类型为“集体所有制”变更为“企业法人”，请您补充具体信息公司是要变更什么内容以便部门为您解答问题，感谢您对我们工作的支持。,商事主体类型普通更,李*****,你好，我公司“深圳市市政工程总公司珠海公司”的现有商事主体类型为“集体所有制”，根据总公司要求商事主体类型变更为“企业法人”，需要提供哪些材料和办事程序。,2017-04-07 09:31:19,市工商局,办结
尊敬的市民，您好！您反映的问题我热线已转市工商局，答复如下：请市民换个时间段多试几次，谢谢理解。,珠海易注册无法提交,张*****,申请注册个体工商户时，填写信息完毕时却无法提交成功，一直显示“网络繁忙，请稍后再试”几十次都如此，请问这个问题如何解决,2017-04-07 00:46:24,市工商局,办结
尊敬的市民，您好！如果市民卡在药店刷卡机上不能使用请带到银行查询卡是否损坏，感谢您对我们工作的支持。,市民卡药店无法刷卡使用,黎*****,上个星期去药店买药，但发现刷卡了几次都无法使用，又没有提示密码错误之类的。但就是不能成功刷卡消费。其他店员试了下机子都是可以的。请帮我查查是什么原因把。,2017-04-06 22:54:18,市人力资源和社会保障局,办结
您好，您的问题我们已安排专人电话联系您，感谢您对我们工作的关注和支持！,人才引入-单位审核,陈*****,您好，人才引入单位审核提交审核后，显示要求单位为全体员工购买社保再予审核。用工名册部分员工已经不在公司了，而且显示合同已到期，实际真正员工也就只有1人，这种情况怎么处理？,2017-04-06 21:17:51,市人力资源和社会保障局,办结
您好，您的问题我们已安排专人电话联系您，感谢您对我们工作的关注和支持！,劳动合同网上申报,叶*****,1、网上申报合同业务，选择短信验证码提交，获取验证码需要等待较长时间（约10分钟），严重影响工作效率。2、在珠海单位曾办理干部身份合同备案，入职本单位新签合同备案，网上申报审核不通过，提示选择其他类型申报，不知指的方法是什么。请予答复，谢谢。,2017-04-06 18:39:13,市人力资源和社会保障局,办结
尊敬的市民，您好！人才引进办理单位审核通过提交后经办机构在10个工作日内对申报信息进行网上预审。情况特殊的，不超过30个工作日。申请人可登录网上服务平台个人申报“业务信息”栏查询，感谢您对我们工作的支持。,人才引进待预审状态,高*****,直接人才引进，为什么提交申请后，单位也已经审核了，却一直处于待预审状态,2017-04-06 15:21:50,市人力资源和社会保障局,办结
尊敬的市民，您好！如您需把您的社保关系从外地转入到珠海（如省外户籍人员，需满足男50周岁、女40周岁前在在珠海有缴纳职工养老保险才能办理社保关系的转移），您在珠海有参保的状态下，提供您在转出地打印的《养老保险参保缴费凭证》、《基本医疗保险参保凭证》、《失业保险关系转移凭证》和《社会保险关系转移接续申请表》、参保人居民身份证（如代办的另提供经办人的身份证原件）到您参保辖区的社保经办机构办事处办理关系转入。感谢您对我们工作的支持！,外市已交的社保想转入珠海，网上如何办理？,郑*****,如题，外市已交的社保想转入珠海，网上如何办理？如果不能网上办理，具体需要怎么办理？另外，因原来在深圳和河源都有交社保（河源是户籍所在地一次性补缴、之前在深圳工作），具体要如何处理？,2017-04-06 15:10:39,市人力资源和社会保障局,办结
尊敬的市民，您好！人才引进可以入户单位集体户口、单位所在的居委会户口和自有房产，不可以入户到亲友户口，感谢您对我们工作的支持。,人才引进落户问题,汪*****,人才引进落户可以落到亲戚的珠海房产上吗？本人珠海无房产,2017-04-06 13:03:48,市人力资源和社会保障局,办结
尊敬的市民，您好！珠海市产假的规定根据《女职工劳动保护贴别规定》第七条：女职工生育享受98天产假、《广东省女职工劳动保护实施办法》第六条：“生育时遇有难产的（如剖腹产），可增加产假三十天”、《女职工劳动保护特别规定》第七条：“多胞胎生育的，每多生育一个婴儿增加产假15天”和修订后的《广东省人口与计划生育条例》第三十条：“符合法律、法规规定生育子女的夫妻，女方享受八十日的奖励假，男方享受十五日的陪产假。在规定假期内照发工资，不影响福利待遇和全勤评奖”。如单位不执行可以到单位所属劳动部门投诉或者申请劳动仲裁，感谢您对我们工作的支持。,公司拒不执行178天产假怎么处理,贾*****,本人任职于天威飞马打印机耗材有限公司，公司以没有收到红头文件为由，拒不执行178天产假，并告知因80天奖励假期工资是由公司支付，企业可不执行。,2017-04-06 11:28:59,市人力资源和社会保障局,办结
尊敬的市民，您好！如认为政府部门出台的规范性文件不合理、不合法，可不可以提起行政复议申请建议拨打法制局电话咨询：2255940，感谢您对我们工作的支持。,行政复议能否审查规范性文件,邓*****,认为政府部门出台的规范性文件不合理、不合法，可不可以提起行政复议申请？,2017-04-06 09:05:13,市法制局,办结
您好，您的问题我们已安排专人电话联系您，感谢您对我们工作的关注和支持！,单位用工,刘*****,您好，我在上传完资料后，单位审核后弹出提示【请依法依规为劳动者办理就业登记后再予以审核】，可是公司在今年3月份已经签了合同，人力资源也盖章回签了，这是什么情况呢？盼回复。,2017-04-05 15:08:38,市人力资源和社会保障局,办结
尊敬的市民，您好！医疗保险中断不超过三个月视为连续参保不影响报销额度，感谢您对我们工作的支持。,医保额度问题,黄*****,你好。我是个人参保，一至三月的社保未能按时缴，四月上旬才在地税补扣前三个个至四月共四个月的。请问这种情况，医保的报销额度算新参保还是可以续上？如果仅是新参保，那我根本不需要交前三个月，从四月交不就得了，既然前面三个月交与不交都是算新参保，我干吗要交前三月的呢？你们的政策这样规定合理吗？,2017-04-05 09:40:06,市人力资源和社会保障局,办结
尊敬的市民，您好！生育津贴在生育医疗费报销的次次月初到账请您留意，感谢您对我们工作的支持。,生育津贴,孙*****,你好，本人二月17于中大五院生产，二月22办理出院，至今未收到生育津贴的短信。请问要多长时间才可以发放呢,2017-04-03 13:50:44,市人力资源和社会保障局,办结
